date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
10/27/2022,2023,0,,OKC,LAC,1369.754305,1499.016875,0.45798707261720056,0.5420129273827994,1379.832443,1488.938738,,,,,,,1362.742857,1550.343041,0.351474203,0.648525797,118,110,30,14,22
10/27/2022,2023,0,,SAC,MEM,1392.7641,1596.903482,0.35446393626735656,0.6455360637326435,1383.953501,1605.714081,,,,,,,1460.910182,1596.140155,0.422478652,0.577521348,110,125,61,13,37
10/27/2022,2023,0,,GSW,MIA,1632.996149,1589.109469,0.6959907651335313,0.3040092348664687,1639.677035,1582.428584,,,,,,,1600.152427,1613.772748,0.643617068,0.356382932,123,110,87,28,58
10/28/2022,2023,0,,DET,ATL,1369.338396,1526.319497,0.4187250002257809,0.581275,1354.423187,1541.234706,,,,,,,1343.41444,1583.384277,0.283705933,0.716294067,112,136,31,8,20
10/28/2022,2023,0,,ORL,CHO,1349.724562,1553.082455,0.3554939771058782,0.6445060228941217,1372.742166,1530.064852,,,,,,,1286.45007,1401.055613,0.43850837,0.56149163,113,93,4,25,15
10/28/2022,2023,0,,WAS,IND,1457.003741,1379.255297,0.7355958983240968,0.2644041016759032,1439.205543,1397.053495,,,,,,,1448.281924,1443.481151,0.612089471,0.387910529,117,127,29,22,26
10/28/2022,2023,0,,TOR,PHI,1568.948969,1550.523356,0.6641208316359426,0.3358791683640574,1543.257157,1576.215169,,,,,,,1606.958565,1539.687695,0.691222065,0.308777935,90,112,78,28,53
10/28/2022,2023,0,,BOS,CLE,1650.982958,1523.839775,0.7871014303089672,0.21289856969103282,1632.257192,1542.565541,,,,,,,1699.080758,1505.469046,0.81899444,0.18100556,123,132,84,11,48
10/28/2022,2023,0,,MIL,NYK,1598.625617,1532.596404,0.7222682677718762,0.27773173222812375,1604.02488,1527.197141,,,,,,,1595.370286,1543.538374,0.68135435,0.31864565,119,108,77,35,56
10/28/2022,2023,0,,MIN,LAL,1533.518761,1417.671814,0.7760014670742633,0.22399853292573668,1537.237369,1413.953207,,,,,,,1598.9735,1395.183586,0.838424326,0.161575674,111,102,47,17,32
10/28/2022,2023,0,,SAS,CHI,1497.27024,1463.60139,0.6834040162553909,0.31659598374460907,1501.295779,1459.575852,,,,,,,1419.656346,1491.475702,0.505700446,0.494299554,129,124,32,37,35
10/28/2022,2023,0,,DEN,UTA,1510.771501,1567.786389,0.561546837,0.43845316278825097,1522.689718,1555.868172,,,,,,,1617.720706,1540.982185,0.755623966,0.244376034,117,101,80,26,53
10/28/2022,2023,0,,POR,HOU,1361.975971,1350.941331,0.654565084,0.34543491603112697,1370.136813,1342.780489,,,,,,,1407.528836,1310.598158,0.72914489,0.27085511,125,111,6,12,9
10/28/2022,2023,0,,PHO,NOP,1618.736661,1572.786842,0.6984977943627138,0.30150220563728625,1625.352659,1566.170843,,,,,,,1628.997156,1524.630688,0.751826071,0.248173929,124,111,79,19,49
